1;WOJEWÓDZTWO;TYP;NAZWA URZĘDU;KOD;MIASTO;ULICA;NR BUDYNKU / LOKALU;adres;POCZTA;NR TELEFONU   wraz z nr kierunkowym  ;NR FAXU;ADRES E-MAIL URZĘDU;kod jednostki;ADRESY STRON BIP JEDNOSTEK KAS
81;kujawsko-pomorskie;KIS;Delegatura Krajowej Informacji Skarbowej w Toruniu;87-100;Toruń;Św. Jakuba;20;87-100 Toruń, Św. Jakuba 20;Toruń;(56) 669-57-00;(56) 669-57-02;kis.0115@kp.mofnet.gov.pl;0115;www.kis.gov.pl
82;lubelskie;IAS;Izba Administracji Skarbowej w Lublinie;20-883   ;Lublin           ;Tadeusza Szeligowskiego ;24;20-883    Lublin           , Tadeusza Szeligowskiego  24;Lublin           ;(81) 452-23- 00 ;(81) 452-23-06;is@lb.mofnet.gov.pl      ;0601;www.lubelskie.kas.gov.pl
83;lubelskie;US;Urząd Skarbowy w Białej Podlaskiej;21-500;Biała Podlaska;Prosta ;19;21-500 Biała Podlaska, Prosta  19;Biała Podlaska;(83) 344-95-17;(83) 344-95-91;us0602@lb.mofnet.gov.pl;0602;www.lubelskie.kas.gov.pl/urzad-skarbowy-w-bialej-podlaskiej
84;lubelskie;US;Urząd Skarbowy w Biłgoraju;23-400;Biłgoraj;Tadeusza Kościuszki ;78;23-400 Biłgoraj, Tadeusza Kościuszki  78;Biłgoraj;(84) 686-87-00;(84) 686-87-01;us0603@lb.mofnet.gov.pl;0603;www.lubelskie.kas.gov.pl/urzad-skarbowy-w-bilgoraju
85;lubelskie;US;Urząd Skarbowy w Chełmie;22-100;Chełm;Obłońska ;20A;22-100 Chełm, Obłońska  20A;Chełm;(82) 565-24-49;(82) 564-33-31;us0604@lb.mofnet.gov.pl;0604;www.lubelskie.kas.gov.pl/urzad-skarbowy-w-chelmie
86;lubelskie;US;Urząd Skarbowy w Hrubieszowie;22-500;Hrubieszów;27 Wołyńskiej Dywizji Piechoty AK ;11;22-500 Hrubieszów, 27 Wołyńskiej Dywizji Piechoty AK  11;Hrubieszów;(84) 696-63-88 do 90;(84) 696-63-65;us0605@lb.mofnet.gov.pl;0605;www.lubelskie.kas.gov.pl/urzad-skarbowy-w-hrubieszowie
87;lubelskie;US;Urząd Skarbowy w Janowie Lubelskim;23-300;Janów Lubelski;Wojska Polskiego ;32;23-300 Janów Lubelski, Wojska Polskiego  32;Janów Lubelski;(15) 872-53-00;(15) 872-24-66;us0606@lb.mofnet.gov.pl;0606;www.lubelskie.kas.gov.pl/urzad-skarbowy-w-janowie-lubelskim
88;lubelskie;US;Urząd Skarbowy w Krasnymstawie;22-300;Krasnystaw;Rzeczna ;5;22-300 Krasnystaw, Rzeczna  5;Krasnystaw;(82) 576-25-94;(82) 576-50-41;us0607@lb.mofnet.gov.pl;0607;www.lubelskie.kas.gov.pl/urzad-skarbowy-w-krasnymstawie
89;lubelskie;US;Urząd Skarbowy w Kraśniku;23-200;Kraśnik;Tadeusza Kościuszki ;5;23-200 Kraśnik, Tadeusza Kościuszki  5;Kraśnik;(81) 884-30-37;(81) 884-36-61;us0608@lb.mofnet.gov.pl;0608;www.lubelskie.kas.gov.pl/urzad-skarbowy-w-krasniku
90;lubelskie;US;Urząd Skarbowy w Lubartowie;21-100;Lubartów;Legionów ;55;21-100 Lubartów, Legionów  55;Lubartów;(81) 854-13-49;(81) 854-13-62;us0609@lb.mofnet.gov.pl;0609;www.lubelskie.kas.gov.pl/urzad-skarbowy-w-lubartowie
91;lubelskie;US;Pierwszy Urząd Skarbowy w Lublinie;20-027;Lublin;Sądowa ;5;20-027 Lublin, Sądowa  5;Lublin;(81) 464-23-10;(81) 464-23-12;us0610@lb.mofnet.gov.pl;0610;www.lubelskie.kas.gov.pl/pierwszy-urzad-skarbowy-w-lublinie
92;lubelskie;US;Drugi Urząd Skarbowy w Lublinie;20-883;Lublin;Tadeusza Szeligowskiego ;24;20-883 Lublin, Tadeusza Szeligowskiego  24;Lublin;(81) 452-24-00;(81) 452-24-04;us0611@lb.mofnet.gov.pl;0611;www.lubelskie.kas.gov.pl/drugi-urzad-skarbowy-w-lublinie
93;lubelskie;US;Trzeci Urząd Skarbowy w Lublinie;20-016;Lublin;Prezydenta Gabriela Narutowicza ;56;20-016 Lublin, Prezydenta Gabriela Narutowicza  56;Lublin;(81) 535-04-77;(81) 535-04-53;us0612@lb.mofnet.gov.pl;0612;www.lubelskie.kas.gov.pl/trzeci-urzad-skarbowy-w-lublinie
94;lubelskie;US;Urząd Skarbowy w Łukowie;21-400;Łuków;Międzyrzecka ;72A;21-400 Łuków, Międzyrzecka  72A;Łuków;(25) 798-29-21;(25) 798-29-21 w. 24;us0613@lb.mofnet.gov.pl;0613;www.lubelskie.kas.gov.pl/urzad-skarbowy-w-lukowie
95;lubelskie;US;Urząd Skarbowy w Opolu Lubelskim;24-300;Opole Lubelskie;Józefa Piłsudskiego ;12;24-300 Opole Lubelskie, Józefa Piłsudskiego  12;Opole Lubelskie;(81) 827-21-41;(81) 827-20-86;us0614@lb.mofnet.gov.pl;0614;www.lubelskie.kas.gov.pl/urzad-skarbowy-w-opolu-lubelskim
96;lubelskie;US;Urząd Skarbowy w Parczewie;21-200;Parczew;Żabia ;2a;21-200 Parczew, Żabia  2a;Parczew;(83) 354-10-71;(83) 354-39-30;us0615@lb.mofnet.gov.pl;0615;www.lubelskie.kas.gov.pl/urzad-skarbowy-w-parczewie
97;lubelskie;US;Urząd Skarbowy w Puławach;24-100;Puławy;Władysława Grabskiego ;4;24-100 Puławy, Władysława Grabskiego  4;Puławy;(81) 887-96-41;(81) 888-44-77;us0616@lb.mofnet.gov.pl;0616;www.lubelskie.kas.gov.pl/urzad-skarbowy-w-pulawach
98;lubelskie;US;Urząd Skarbowy w Radzyniu Podlaskim;21-300;Radzyń Podlaski;Lubelska;1/2;21-300 Radzyń Podlaski, Lubelska 1/2;Radzyń Podlaski;(83) 352-11-09;(83) 352-11-09;us0617@lb.mofnet.gov.pl;0617;www.lubelskie.kas.gov.pl/urzad-skarbowy-w-radzyniu-podlaskim
99;lubelskie;US;Urząd Skarbowy w Tomaszowie Lubelskim;22-600;Tomaszów Lubelski;Rolnicza ;17;22-600 Tomaszów Lubelski, Rolnicza  17;Tomaszów Lubelski;(84) 666-01-16;(84) 666-01-11;us0618@lb.mofnet.gov.pl;0618;www.lubelskie.kas.gov.pl/urzad-skarbowy-w-tomaszowie-lubelskim
100;lubelskie;US;Urząd Skarbowy we Włodawie;22-200;Włodawa;Rynek ;9;22-200 Włodawa, Rynek  9;Włodawa;(82) 572-44-00;(82) 572-39-00;us0619@lb.mofnet.gov.pl;0619;www.lubelskie.kas.gov.pl/urzad-skarbowy-we-wlodawie
101;lubelskie;US;Urząd Skarbowy w Zamościu;22-400;Zamość;Jana Kilińskiego ;82;22-400 Zamość, Jana Kilińskiego  82;Zamość;(84) 677-63-00;(84) 638-32-23;us0620@lb.mofnet.gov.pl;0620;www.lubelskie.kas.gov.pl/urzad-skarbowy-w-zamosciu
102;lubelskie;US;Urząd Skarbowy w Łęcznej;21-010;Łęczna;Jana Pawła II ;95;21-010 Łęczna, Jana Pawła II  95;Łęczna;(81) 752-36-21;(81) 752-36-26;us0621@lb.mofnet.gov.pl;0621;www.lubelskie.kas.gov.pl/urzad-skarbowy-w-lecznej
103;lubelskie;US;Urząd Skarbowy w Rykach;08-500;Ryki;Leona Wyczółkowskiego ;10A;08-500 Ryki, Leona Wyczółkowskiego  10A;Ryki;(81) 865-63-82;(81) 865-44-30;us0622@lb.mofnet.gov.pl;0622;www.lubelskie.kas.gov.pl/urzad-skarbowy-w-rykach
104;lubelskie;WUS;Lubelski Urząd Skarbowy w Lublinie;20-601;Lublin;Tomasza Zana;38;20-601 Lublin, Tomasza Zana 38;Lublin;(81) 503 00 09;(81) 503 20 40;us0671@lb.mofnet.gov.pl;0671;www.lubelskie.kas.gov.pl/lubelski-urzad-skarbowy-w-lublinie
105;lubelskie;UCS;Lubelski Urząd Celno-Skarbowy w Białej Podlaskiej;21-500;Biała Podlaska;Celników Polskich ;21;21-500 Biała Podlaska, Celników Polskich  21;Biała Podlaska;83 344 98 33;83 342 76 73;ic.bialapodlaska@bpd.mofnet.gov.pl;308000;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
106;lubelskie;DUCS;Delegatura UCS w Białej Podlaskiej;21-500;Biała Podlaska;Celników Polskich ;23;21-500 Biała Podlaska, Celników Polskich  23;Biała Podlaska;83 342 75 32;83 342 76 79;uc.bialapodlaska@bpd.mofnet.gov.pl;301000;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
107;lubelskie;OC;Oddział Celny w Białej Podlaskiej;21-500;Biała Podlaska;Celników Polskich ;23;21-500 Biała Podlaska, Celników Polskich  23;Biała Podlaska;83 342 76 01, 83 342 76 05;83 342 76 78;oc.bialapodlaska@bpd.mofnet.gov.pl;301010;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
108;lubelskie;OC;Oddział Celny w Małaszewiczach;21-540;Małaszewicze;Słoneczna , Kobylany;152;21-540 Małaszewicze, Słoneczna , Kobylany 152;Małaszewicze;83 376 12 40;83 376 12 54;oc.malaszewicze@bpd.mofnet.gov.pl;301020;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
109;lubelskie;OC;Oddział Celny w Koroszczynie;21-550;Koroszczyn;Terminal Samochodowy w Koroszczynie;;21-550 Koroszczyn, Terminal Samochodowy w Koroszczynie ;Terespol;83 376 40 00;83 376 41 44;oc.koroszczyn@bpd.mofnet.gov.pl;301040;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
110;lubelskie;OC;Oddział Celny w Terespolu;21-550;Terespol;Męczenników Unickich ;1;21-550 Terespol, Męczenników Unickich  1;Terespol;83 341 43 60                             797 029 583;83 341 43 69;oc.terespol@bpd.mofnet.gov.pl;301050;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
111;lubelskie;OC;Oddział Celny Drogowy w Terespolu;21-550;Terespol;Drogowe przejście graniczne w Terespolu;;21-550 Terespol, Drogowe przejście graniczne w Terespolu ;Terespol;83 353 44 50                               83 353 44 51;83 353 44 52;ocd.terespol@bpd.mofnet.gov.pl;301060;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
112;lubelskie;OC;Oddział Celny w Sławatyczach;21-515;Sławatycze;Drogowe przejście graniczne w Sławatyczach;;21-515 Sławatycze, Drogowe przejście graniczne w Sławatyczach ;Sławatycze;83 341 45 00                               83 341 45 01;83 341 45 05;oc.slawatycze@bpd.mofnet.gov.pl;301070;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
113;lubelskie;DUCS;Delegatura UCS w Lublinie;20-468;Lublin;Energetyków ;20-22;20-468 Lublin, Energetyków  20-22;Lublin;81 748 42 30;81 748 43 24;uc.lublin@bpd.mofnet.gov.pl;302000;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
114;lubelskie;OC;Oddział Celny w Lublinie;20-468;Lublin;Energetyków ;20-22;20-468 Lublin, Energetyków  20-22;Lublin;81 748 42 74;81 748 43 19;oc.lublin@bpd.mofnet.gov.pl;302010;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
115;lubelskie;OC;Oddział Celny w Puławach;24-100;Puławy;Dęblińska ;2;24-100 Puławy, Dęblińska  2;Puławy;81 748 43 70;;oc.pulawy@bpd.mofnet.gov.pl;302020;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
116;lubelskie;OC;Oddział Celny w Chełmie;22-100;Chełm;Hutnicza ;3;22-100 Chełm, Hutnicza  3;Chełm;82 560 55 10                               82 560 55 12 ;82 560 55 15;oc.chelm@bpd.mofnet.gov.pl;302040;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
117;lubelskie;OC;Oddział Celny w Dorohusku;22-175;Dorohusk;Kolejowa ;10G;22-175 Dorohusk, Kolejowa  10G;Dorohusk;81 748 43 90, 81 748 43 91;;oc.dorohusk@bpd.mofnet.gov.pl;302050;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
118;lubelskie;OC;Oddział Celny Drogowy w Dorohusku;22-175;Dorohusk;Drogowe przejście graniczne;;22-175 Dorohusk, Drogowe przejście graniczne ;Dorohusk;82 577 57 20                               82 577 57 23 ;82 577 57 22;ocd.dorohusk@bpd.mofnet.gov.pl;302060;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
119;lubelskie;OC;Oddział Celny Port Lotniczy w Lublinie;21-040;Świdnik;Króla Jana III Sobieskiego ;1;21-040 Świdnik, Króla Jana III Sobieskiego  1;Świdnik;81 458 14 92;81 47 04 650 ;ocpl.lublin@bpd.mofnet.gov.pl;302070;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
120;lubelskie;DUCS;Delegatura UCS w Zamościu;22-400;Zamość;Strefowa ;5;22-400 Zamość, Strefowa  5;Zamość;84 696 60 00;84 696 60 10;uc.zamosc@bpd.mofnet.gov.pl;303000;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
121;lubelskie;OC;Oddział Celny w Zamościu;22-400;Zamość;Stefowa ;5;22-400 Zamość, Stefowa  5;Zamość;84 696 61 00;84 696 61 06;oc.zamosc@bpd.mofnet.gov.pl;303010;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
122;lubelskie;OC;Oddział Celny w Hrebennem;22-680;Hrebenne;Drogowe przejście graniczne;;22-680 Hrebenne, Drogowe przejście graniczne ;Hrebenne;84 677 62 70                                84 677 62 73 ;84 677 62 71;oc.hrebenne@bpd.mofnet.gov.pl;303020;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
123;lubelskie;OC;Oddział Celny w Hrubieszowie;22-500;Hrubieszów;Nowa ;106;22-500 Hrubieszów, Nowa  106;Hrubieszów;84 682 66 20                               84 682 66 22 ;84 682 66 21;oc.hrubieszow@bpd.mofnet.gov.pl;303030;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
124;lubelskie;OC;Oddział Celny w Zosinie;22-523;Zosin;Drogowe przejście graniczne;;22-523 Zosin, Drogowe przejście graniczne ;Zosin;84 683 67 00                    84 683 67 02 ;84 683 67 06;oc.zosin@bpd.mofnet.gov.pl;303040;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
125;lubelskie;OC;Oddział Celny w Tomaszowie Lubelskim;22-600;Tomaszów Lubelski;Łaszczowiecka;12C;22-600 Tomaszów Lubelski, Łaszczowiecka 12C;Tomaszów Lubelski;84 661 68 70                               84 661 68 72 ;84 661 68 78;oc.tomaszowlubelski@bpd.mofnet.gov.pl;303080;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
126;lubelskie;OC;Oddział Celny w Dołhobyczowie;22-540;Dołhobyczów;Drogowe przejście graniczne;;22-540 Dołhobyczów, Drogowe przejście graniczne ;Dołhobyczów;81 748 43 88 ;;oc.dolhobyczow@bpd.mofnet.gov.pl;303091;www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
127;lubuskie;IAS;Izba Administracji Skarbowej w Zielonej Górze;65-454;Zielona Góra;Gen. Władysława Sikorskiego ;2;65-454 Zielona Góra, Gen. Władysława Sikorskiego  2;Zielona Góra;(68) 456-07-00;(68) 456-07-01;is@lu.mofnet.gov.pl;0801;www.lubuskie.kas.gov.pl
128;lubuskie;US;Urząd Skarbowy w Gorzowie Wielkopolskim;66-400;Gorzów Wielkopolski;Jagiellończyka ;10;66-400 Gorzów Wielkopolski, Jagiellończyka  10;Gorzów Wielkopolski;(95) 711-57-42;(95)711-59-05;us802@lu.mofnet.gov.pl;0802;www.lubuskie.kas.gov.pl/urzad-skarbowy-w-gorzowie-wielkopolskim
129;lubuskie;US;Urząd Skarbowy w Krośnie Odrzańskim;66-600;Krosno Odrzańskie;Obrońców Stalingradu ;3;66-600 Krosno Odrzańskie, Obrońców Stalingradu  3;Krosno Odrzańskie;(68) 383-53-17;(68) 383-57-28;us803@lu.mofnet.gov.pl;0803;www.lubuskie.kas.gov.pl/urzad-skarbowy-w-krosnie-odrzanskim
130;lubuskie;US;Urząd Skarbowy w Międzyrzeczu;66-300;Międzyrzecz;Rynek ;3;66-300 Międzyrzecz, Rynek  3;Międzyrzecz;(95) 742-35-00;(95) 742-35-01;us804@lu.mofnet.gov.pl;0804;www.lubuskie.kas.gov.pl/urzad-skarbowy-w-miedzyrzeczu
131;lubuskie;US;Urząd Skarbowy w Nowej Soli;67-100;Nowa Sól;Stanisława Staszica ;1;67-100 Nowa Sól, Stanisława Staszica  1;Nowa Sól;(68) 456-03-02;(68) 456-03-01;us805@lu.mofnet.gov.pl;0805;www.lubuskie.kas.gov.pl/urzad-skarbowy-w-nowej-soli
132;lubuskie;US;Urząd Skarbowy w Słubicach;69-100;Słubice;Wojska Polskiego ;155;69-100 Słubice, Wojska Polskiego  155;Słubice;(95) 750-15-11;(95) 758-26-62;us806@lu.mofnet.gov.pl;0806;www.lubuskie.kas.gov.pl/urzad-skarbowy-w-slubicach
133;lubuskie;US;Urząd Skarbowy w Świebodzinie;66-200;Świebodzin;Jana III Sobieskiego ;6;66-200 Świebodzin, Jana III Sobieskiego  6;Świebodzin;(68) 456-06-10;(68) 456-06-01;us807@lu.mofnet.gov.pl;0807;www.lubuskie.kas.gov.pl/urzad-skarbowy-w-swiebodzinie
134;lubuskie;US;Pierwszy Urząd Skarbowy w Zielonej Górze;65-054;Zielona Góra;Dr. Pieniężnego ;24;65-054 Zielona Góra, Dr. Pieniężnego  24;Zielona Góra;(68) 456-01-00;(68) 456-01-01;us808@lu.mofnet.gov.pl;0808;www.lubuskie.kas.gov.pl/pierwszy-urzad-skarbowy-w-zielonej-gorze
135;lubuskie;US;Drugi Urząd Skarbowy w Zielonej Górze;65-054;Zielona Góra;Dr. Pieniężnego ;24;65-054 Zielona Góra, Dr. Pieniężnego  24;Zielona Góra;(68) 456-02-00;(68) 456-02-01;us809@lu.mofnet.gov.pl;0809;www.lubuskie.kas.gov.pl/drugi-urzad-skarbowy-w-zielonej-gorze
136;lubuskie;US;Urząd Skarbowy w Żaganiu;68-100;Żagań;X- Lecia ;26;68-100 Żagań, X- Lecia  26;Żagań;(68) 456-04-02;(68) 456-04-01;us810@lu.mofnet.gov.pl;0810;www.lubuskie.kas.gov.pl/urzad-skarbowy-w-zaganiu
137;lubuskie;US;Urząd Skarbowy w Żarach;68-200;Żary;Osadników Wojskowych ;3-4;68-200 Żary, Osadników Wojskowych  3-4;Żary;(68) 456-05-00;(68) 456-05-01;us811@lu.mofnet.gov.pl;0811;www.lubuskie.kas.gov.pl/urzad-skarbowy-w-zarach
138;lubuskie;US;Urząd Skarbowy w Drezdenku;66-530;Drezdenko;Pierwszej Brygady ;21;66-530 Drezdenko, Pierwszej Brygady  21;Drezdenko;(95) 763-73-00;(95) 763-73-02;us812@lu.mofnet.gov.pl;0812;www.lubuskie.kas.gov.pl/urzad-skarbowy-w-drezdenku
139;lubuskie;US;Urząd Skarbowy w Sulęcinie;69-200;Sulęcin;Daszyńskiego ;47;69-200 Sulęcin, Daszyńskiego  47;Sulęcin;(95) 756-00-11;(95) 755-22-24;us813@lu.mofnet.gov.pl;0813;www.lubuskie.kas.gov.pl/urzad-skarbowy-w-sulecinie
140;lubuskie;US;Urząd Skarbowy we Wschowie;67-400;Wschowa;Zielony Rynek ;7;67-400 Wschowa, Zielony Rynek  7;Wschowa;(65) 540-80-60;(65) 540-80-61;us814@lu.mofnet.gov.pl;0814;www.lubuskie.kas.gov.pl/urzad-skarbowy-we-wschowie
141;lubuskie;WUS;Lubuski Urząd Skarbowy w Zielonej Górze;65-054;Zielona Góra;Dr. Pieniężnego ;24;65-054 Zielona Góra, Dr. Pieniężnego  24;Zielona Góra;(68) 456-09-00;(68) 456-09-01;us871@lu.mofnet.gov.pl;0871;www.lubuskie.kas.gov.pl/lubuski-urzad-skarbowy-w-zielonej-gorze
142;lubuskie;UCS;Lubuski Urząd Celno-Skarbowy w Gorzowie Wielkopolskim;66-400;Gorzów Wielkopolski;Kazimierza Wielkiego ;65;66-400 Gorzów Wielkopolski, Kazimierza Wielkiego  65;Gorzów Wielkopolski;95 733 75 01                     ;95 733-75-29             ;ucs.gorzowwielkopolski@lu.mofnet.gov.pl ;418000;www.lubuskie.kas.gov.pl/lubuski-urzad-celno-skarbowy-w-gorzowie-wielkopolskim
143;lubuskie;DUCS;Delegatura UCS w Zielonej Górze;65-127;Zielona Góra;Kostrzyńska ;14;65-127 Zielona Góra, Kostrzyńska  14;Zielona Góra;68 322 92 01                                                                    ;68 322 92 33                                                                    ;uc.zielonagora@rze.mofnet.gov.pl;411000;www.lubuskie.kas.gov.pl/lubuski-urzad-celno-skarbowy-w-gorzowie-wielkopolskim
144;lubuskie;OC;Oddział Celny w Zielonej Górze;65-127;Zielona Góra;Kostrzyńska ;14;65-127 Zielona Góra, Kostrzyńska  14;Zielona Góra;68 322 92 83            68 322 92 80               68 322 92 81                ;68 324 66 70                                                                    ;oc.zielonagora@rze.mofnet.gov.pl;411010;www.lubuskie.kas.gov.pl/lubuski-urzad-celno-skarbowy-w-gorzowie-wielkopolskim
145;lubuskie;OC;Oddział Celny w Olszynie;68-217;Olszyna;;;68-217 Olszyna,  ;Olszyna;68 375 64 10            68 375 64 12                 ;68 363 28 74                                                                    ;oc.olszyna@rze.mofnet.gov.pl;411020;www.lubuskie.kas.gov.pl/lubuski-urzad-celno-skarbowy-w-gorzowie-wielkopolskim
146;lubuskie;DUCS;Delegatura UCS w Rzepinie;69-110;Rzepin;Dworcowa ;5;69-110 Rzepin, Dworcowa  5;Rzepin;95 750 93 00, 95 750 93 01                                 ;95 750 93 36           95 759 64 42             ;ic.rzepin@rze.mofnet.gov.pl;412000;www.lubuskie.kas.gov.pl/lubuski-urzad-celno-skarbowy-w-gorzowie-wielkopolskim
147;lubuskie;OC;Oddział Celny w Gorzowie Wielkopolskim;66-400;Gorzów Wielkopolski;Myśliborska ;34;66-400 Gorzów Wielkopolski, Myśliborska  34;Gorzów Wielkopolski;95 733 75 61,95 733 75 60;95 733 75 73                                                                    ;oc.gorzowwielkopolski@rze.mofnet.gov.pl;412010;www.lubuskie.kas.gov.pl/lubuski-urzad-celno-skarbowy-w-gorzowie-wielkopolskim
148;lubuskie;OC;Oddział Celny w Świecku;69-100;Słubice;;;69-100 Słubice,  ;Słubice;95 750 73 26,95 750 73 04                                                      ;95 750 73 52           95 750 73 55                                                     ;oc.swiecko@rze.mofnet.gov.pl;412020;www.lubuskie.kas.gov.pl/lubuski-urzad-celno-skarbowy-w-gorzowie-wielkopolskim
149;łódzkie;IAS;Izba Administracji Skarbowej w Łodzi;90-436;Łódź;aleja Tadeusza Kościuszki ;83;90-436 Łódź, aleja Tadeusza Kościuszki  83;Łódź;(42) 254-70-00;(42) 254-71-01;is1001@ld.mofnet.gov.pl;1001;www.lodzkie.kas.gov.pl
150;łódzkie;US;Urząd Skarbowy w Bełchatowie;97-400;Bełchatów;Józefa Piłsudskiego ;18;97-400 Bełchatów, Józefa Piłsudskiego  18;Bełchatów;(44) 632-49-86;(44) 632-30-63;us1002@ld.mofnet.gov.pl;1002;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-belchatowie
151;łódzkie;US;Urząd Skarbowy w Brzezinach;95-060;Brzeziny;Henryka Sienkiewicza ;16;95-060 Brzeziny, Henryka Sienkiewicza  16;Brzeziny;(46) 874-30-11;(46) 874-21-77;us1003@ld.mofnet.gov.pl;1003;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-brzezinach
152;łódzkie;US;Urząd Skarbowy w Głownie;95-015;Głowno;Ludwika Norblina ;2;95-015 Głowno, Ludwika Norblina  2;Głowno;(42) 710-67-00 ;(42) 719-40-96;us1004@ld.mofnet.gov.pl;1004;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-glownie
153;łódzkie;US;Urząd Skarbowy w Kutnie;99-300;Kutno;Dr. Antoniego Troczewskiego ;12;99-300 Kutno, Dr. Antoniego Troczewskiego  12;Kutno;(24) 355-61-00;(24) 355-65-65;us1005@ld.mofnet.gov.pl;1005;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-kutnie
154;łódzkie;US;Urząd Skarbowy w Łasku;98-100;Łask;9 Maja ;31;98-100 Łask, 9 Maja  31;Łask;(43) 671-13-00;;us1006@ld.mofnet.gov.pl;1006;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-lasku
155;łódzkie;US;Urząd Skarbowy w Łowiczu;99-400;Łowicz;Józefa Chełmońskiego ;2;99-400 Łowicz, Józefa Chełmońskiego  2;Łowicz;(46) 837-43-58;(46) 837-97-66;us1007@ld.mofnet.gov.pl;1007;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-lowiczu
156;łódzkie;US;Pierwszy Urząd Skarbowy Łódź - Bałuty;91-066;Łódź;Zachodnia ;47;91-066 Łódź, Zachodnia  47;Łódź;(42) 253-56-00;(42) 253-57-22;us1008@ld.mofnet.gov.pl;1008;www.lodzkie.kas.gov.pl/pierwszy-urzad-skarbowy-lodz-baluty
157;łódzkie;US;Drugi Urząd Skarbowy Łódź - Bałuty;91-222;Łódź;Św. Teresy od Dzieciątka Jezus ;105;91-222 Łódź, Św. Teresy od Dzieciątka Jezus  105;Łódź;(42) 253-40-00;(42) 253-42-50;us1009@ld.mofnet.gov.pl;1009;www.lodzkie.kas.gov.pl/drugi-urzad-skarbowy-lodz-baluty
158;łódzkie;US;Pierwszy Urząd Skarbowy Łódź - Górna;93-578;Łódź;Gen. Walerego Wróblewskiego ;10;93-578 Łódź, Gen. Walerego Wróblewskiego  10;Łódź;(42)258-81-00;(42) 258-81-05;us1010@ld.mofnet.gov.pl;1010;www.lodzkie.kas.gov.pl/pierwszy-urzad-skarbowy-lodz-gorna
159;łódzkie;US;Drugi Urząd Skarbowy Łódź - Górna;93-578;Łódź;Gen. Walerego Wróblewskiego;10A;93-578 Łódź, Gen. Walerego Wróblewskiego 10A;Łódź;(42) 258-82-00;(42) 258-82-83;us1011@ld.mofnet.gov.pl;1011;www.lodzkie.kas.gov.pl/drugi-urzad-skarbowy-lodz-gorna
160;łódzkie;US;Urząd Skarbowy Łódź - Polesie;90-646 ;Łódź;6 Sierpnia ;86A;90-646  Łódź, 6 Sierpnia  86A;Łódź;(42) 254-60-00;(42) 254-62-51;us1012@ld.mofnet.gov.pl;1012;www.lodzkie.kas.gov.pl/urzad-skarbowy-lodz-polesie
161;łódzkie;US;Urząd Skarbowy Łódź - Śródmieście;90-019;Łódź;Dowborczyków ;9/11;90-019 Łódź, Dowborczyków  9/11;Łódź;(42 )253-06-00;(42) 253-07-03;us1013@ld.mofnet.gov.pl;1013;www.lodzkie.kas.gov.pl/urzad-skarbowy-lodz-srodmiescie
